reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Value and momentum everywhere,Value And Momentum Everywhere,70,10.1111/jofi.12021,https://w3id.org/oc/meta/br/062501162212,year_volume_page
b2,Carry trade and momentum in currency markets,Carry Trade And Momentum In Currency Markets,70,10.1146/annurev-financial-102710-144913,https://w3id.org/oc/meta/br/061601261670,year_volume_page
b3,Stock market returns: A note on temperature anomaly,Stock Market Returns: A Note On Temperature Anomaly,70,10.1016/j.jbankfin.2004.06.028,https://w3id.org/oc/meta/br/062602856057,year_volume_page
b4,Weather and intraday patterns in stock returns and trading activity,Weather And Intraday Patterns In Stock Returns And Trading Activity,70,10.1016/j.jbankfin.2007.12.007,https://w3id.org/oc/meta/br/062602855387,year_author_page
b7,"Weather, mood, and helping behavior: Quasi experiments with the sunshine Samaritan","Weather, Mood, And Helping Behavior: Quasi Experiments With The Sunshine Samaritan.",70,10.1037/0022-3514.37.11.1947,https://w3id.org/oc/meta/br/0633037434,year_volume_page
b8,Investor psychology and security market under-and overreactions,Investor Psychology And Security Market Under- And Overreactions,70,10.1111/0022-1082.00077,https://w3id.org/oc/meta/br/06401186732,year_volume_page
b9,"Weather, biorhythms, beliefs and stock returns-Some preliminary Irish evidence","Weather, Biorhythms, Beliefs And Stock returns—Some Preliminary Irish Evidence",70,10.1016/j.irfa.2004.10.003,https://w3id.org/oc/meta/br/061403099868,year_volume_page
b10,Robust global mood influences in equity pricing,Robust Global Mood Influences In Equity Pricing,70,10.1016/j.mulfin.2007.06.002,https://w3id.org/oc/meta/br/061602863047,year_volume_page
b11,Good Day Sunshine: Stock Returns and the Weather,Good Day Sunshine: Stock Returns And The Weather,70,10.1111/1540-6261.00556,https://w3id.org/oc/meta/br/06401186629,year_volume_page
b12,A multidimensional approach to the relationship between mood and weather,A Multidimensional Approach To The Relationship Between Mood And Weather,70,10.1111/j.2044-8295.1984.tb02785.x,https://w3id.org/oc/meta/br/06110535620,year_volume_page
b13,An influence of positive affect on decision making in complex situations: Theoretical issues with practical implications,An Influence Of Positive Affect On Decision Making In Complex Situations: Theoretical Issues With Practical Implications,70,10.1207/s15327663jcp1102_01,https://w3id.org/oc/meta/br/061103129157,year_volume_page
b15,Is it the weather?,Is It The Weather?,70,10.1016/j.jbankfin.2007.08.004,https://w3id.org/oc/meta/br/062602855460,year_volume_page
b16,Influence of weather on New Zealand financial securities. Accounting and Finance,Influence Of Weather On New Zealand Financial Securities,70,10.1111/j.1467-629x.2004.00135.x,https://w3id.org/oc/meta/br/06201757686,year_volume_page
b17,Size related anomalies and stock return seasonality: Further evidence,Size-related Anomalies And Stock Return Seasonality,70,10.1016/0304-405x(83)90025-9,https://w3id.org/oc/meta/br/0640802929,year_volume_page
b18,"Weather, stock returns, and the impact of localized trading behavior","Weather, Stock Returns, And The Impact Of Localized Trading Behavior",70,10.1017/s0022109000003100,https://w3id.org/oc/meta/br/06601180501,year_volume_page
b19,The cross section of foreign currency risk premia and consumption growth risk,The Cross Section Of Foreign Currency Risk Premia And Consumption Growth Risk,70,10.1257/aer.97.1.89,https://w3id.org/oc/meta/br/061801196651,year_volume_page
b20,Common risk factors in currency markets,Common Risk Factors In Currency Markets,70,10.1093/rfs/hhr068,https://w3id.org/oc/meta/br/061601021599,year_volume_page
b22,Currency momentum strategies,Currency Momentum Strategies,70,10.1016/j.jfineco.2012.06.009,https://w3id.org/oc/meta/br/0660806334,year_volume_page
b23,Currency value,Currency Value,70,10.1093/rfs/hhw067,https://w3id.org/oc/meta/br/061501022293,year_volume_page
b24,Effects of hot and cold temperature exposure on performance: A meta-analytic review,Effects Of Hot And Cold Temperature Exposure On Performance: A Meta-Analytic Review,70,10.1080/00140130210158419,https://w3id.org/oc/meta/br/061601408173,year_volume_page
